agent_id,condition,session_number,run_number,opp_score,response_length
Thoth,N,1,5,1.1,768
Thoth,N,1,5,1.0,689
Thoth,N,1,5,0.6000000000000001,702
Thoth,N,1,5,0.7,824
Thoth,N,1,5,0.8,716
Thoth,N,1,5,1.1,780
Thoth,N,1,5,0.6000000000000001,808
Thoth,N,1,5,0.8,700
Thoth,N,1,5,0.30000000000000004,691
Thoth,N,1,5,1.2,760
Seshat,B,1,1,1.3,802
Seshat,B,1,1,1.4000000000000001,754
Seshat,B,1,1,1.2000000000000002,762
Seshat,B,1,1,1.1,833
Seshat,B,1,1,1.0,740
Seshat,B,1,1,0.8999999999999999,781
Seshat,B,1,1,1.3000000000000003,791
Seshat,B,1,1,0.8,703
Seshat,B,1,1,0.8,763
Seshat,B,1,1,1.5999999999999999,805
Anubis,P,1,3,1.8000000000000003,742
Anubis,P,1,3,1.7999999999999998,689
Anubis,P,1,3,1.2000000000000002,773
Anubis,P,1,3,2.1,813
Anubis,P,1,3,2.0000000000000004,684
Anubis,P,1,3,1.4000000000000001,794
Anubis,P,1,3,1.8999999999999997,748
Anubis,P,1,3,1.2,745
Anubis,P,1,3,0.9000000000000001,752
Anubis,P,1,3,1.5,746
Seshat,S,1,1,2.2,803
Seshat,S,1,1,0.4,633
Seshat,S,1,1,0.5,780
Seshat,S,1,1,1.6,786
Seshat,S,1,1,1.8000000000000003,746
Seshat,S,1,1,0.7,722
Seshat,S,1,1,1.1,754
Seshat,S,1,1,1.4,716
Seshat,S,1,1,0.6000000000000001,727
Seshat,S,1,1,1.5000000000000002,775
Seshat,N,1,6,1.6,767
Seshat,N,1,6,1.2999999999999998,726
Seshat,N,1,6,0.6000000000000001,729
Seshat,N,1,6,1.4,799
Seshat,N,1,6,1.2,715
Seshat,N,1,6,0.0,680
Seshat,N,1,6,1.5,804
Seshat,N,1,6,1.5,710
Seshat,N,1,6,0.30000000000000004,733
Seshat,N,1,6,1.4,818
Seshat,P,1,6,1.3,780
Seshat,P,1,6,0.30000000000000027,674
Seshat,P,1,6,0.2,798
Seshat,P,1,6,2.5,839
Seshat,P,1,6,1.0,720
Seshat,P,1,6,0.5,704
Seshat,P,1,6,1.7000000000000002,782
Seshat,P,1,6,1.6,729
Seshat,P,1,6,0.7000000000000001,706
Seshat,P,1,6,2.2,812
Ptah,B,1,4,0.6,819
Ptah,B,1,4,1.3000000000000003,763
Ptah,B,1,4,1.2999999999999998,714
Ptah,B,1,4,1.0,751
Ptah,B,1,4,1.8000000000000003,803
Ptah,B,1,4,1.9,822
Ptah,B,1,4,0.7000000000000001,764
Ptah,B,1,4,1.9000000000000004,703
Ptah,B,1,4,0.8999999999999999,765
Ptah,B,1,4,1.4000000000000001,725
Maat,B,1,2,1.7000000000000002,726
Maat,B,1,2,1.9000000000000004,762
Maat,B,1,2,1.1,687
Maat,B,1,2,1.8000000000000003,721
Maat,B,1,2,1.6,715
Maat,B,1,2,0.8,692
Maat,B,1,2,1.4000000000000001,736
Maat,B,1,2,0.8999999999999999,695
Maat,B,1,2,1.0,746
Maat,B,1,2,2.1,708
Anubis,I,1,3,1.1,743
Anubis,I,1,3,1.2000000000000002,749
Anubis,I,1,3,0.7,787
Anubis,I,1,3,2.4000000000000004,777
Anubis,I,1,3,0.8,719
Anubis,I,1,3,0.7999999999999999,727
Anubis,I,1,3,2.0,696
Anubis,I,1,3,0.7,768
Anubis,I,1,3,0.9,738
Anubis,I,1,3,2.0,774
Seshat,P,1,1,0.8,822
Seshat,P,1,1,1.7000000000000002,775
Seshat,P,1,1,0.5,755
Seshat,P,1,1,0.6000000000000001,808
Seshat,P,1,1,2.6,751
Seshat,P,1,1,0.1,725
Seshat,P,1,1,1.0,824
Seshat,P,1,1,1.3,672
Seshat,P,1,1,0.6000000000000001,740
Seshat,P,1,1,1.9000000000000004,870
Ptah,N,1,4,0.7999999999999999,783
Ptah,N,1,4,1.2000000000000002,700
Ptah,N,1,4,1.0,756
Ptah,N,1,4,1.7000000000000002,710
Ptah,N,1,4,1.7000000000000002,762
Ptah,N,1,4,1.5000000000000002,712
Ptah,N,1,4,1.1,718
Ptah,N,1,4,1.1,711
Ptah,N,1,4,1.2000000000000002,734
Ptah,N,1,4,1.4,840
Anubis,I,1,8,1.6,798
Anubis,I,1,8,0.6000000000000001,666
Anubis,I,1,8,1.0,742
Anubis,I,1,8,1.2000000000000002,709
Anubis,I,1,8,1.2000000000000002,723
Anubis,I,1,8,0.6000000000000001,710
Anubis,I,1,8,1.1,778
Anubis,I,1,8,1.5,744
Anubis,I,1,8,1.9000000000000001,742
Anubis,I,1,8,1.7000000000000002,779
